t,ia,ib,ic,isq,isd,vsd,vsq,ha,hb,hc,speed,angle,torque,output
0,0,0,0,0,0,244.9489743,0,1,0,1,0,0,0,0
0.01,81.7083293,151.204339,-232.9126683,56.89482161,229.3930879,83.15340669,230.4029317,0,1,0,80.3685714,0.636367687,13.1619016,0
0.02,65.98242853,-220.1415733,154.1591447,10.15177236,225.7232041,131.2641143,206.8084435,1,0,0,133.7784018,1.633644971,2.394980159,0
0.03,-178.4658658,209.0555644,-30.5896986,-43.92785246,221.5032574,174.5055625,171.8947604,0,0,1,98.61876737,2.632968049,-10.5946923,0
0.04,226.7858604,-116.1545236,-110.6313369,-0.65187488,226.8073413,141.751758,199.7659609,1,1,0,61.16297329,3.531495274,-0.152906665,0
0.05,-184.5159754,-21.78529861,206.3012741,36.13934119,223.7884151,108.6883052,219.5150389,0,0,1,95.71021169,4.434625744,8.613163558,0
0.06,74.71851465,147.3594023,-222.0779169,-4.218005922,225.9639554,143.1589376,198.7599521,0,1,0,120.9781357,5.418216339,-0.993833832,0
0.07,64.37763854,-219.9347405,155.5571019,-28.83336875,224.30149,163.471154,182.4203438,1,0,0,89.86012059,6.387312803,-6.853453603,0
0.08,-181.5942114,208.3533097,-26.7590983,6.61114502,226.6245761,135.3774637,204.1395168,0,1,1,72.94953256,7.293516289,1.552247459,0
0.09,226.5106224,-115.7291537,-110.7814687,23.03616998,225.3542917,120.3985226,213.3171248,1,1,0,99.84558223,8.218061064,5.445240191,0
0.1,-185.8371969,-18.61176336,204.4489603,-7.28944312,225.9816141,145.9392378,196.7275752,1,0,1,111.1584303,9.191642495,-1.717355955,0
0.11,74.71311063,147.6206414,-222.3337521,-18.15389632,225.5539168,155.2193498,189.4913018,0,1,0,88.35326864,10.14613204,-4.286656154,0
0.12,66.92190607,-220.9754535,154.0535474,7.321127722,226.5109117,134.5677828,204.6741601,1,0,0,80.86920878,11.06243719,1.719984619,0
0.13,-181.1942546,208.2246855,-27.03043085,14.44555642,225.9889534,127.9382212,208.8822911,0,1,1,99.93010389,11.99690037,3.403167766,0
0.14,226.1382169,-117.2496263,-108.8885905,-6.769784592,226.0884018,145.6745095,196.9236839,1,1,0,104.8736861,12.96121743,-1.594024816,0
0.15,-185.8193693,-19.01681424,204.8361835,-11.41805181,226.0571926,149.8301864,193.7805853,1,0,1,89.08650377,13.90901321,-2.688958323,0
0.16,73.3166505,148.9845298,-222.3011803,6.056996249,226.4722283,135.5033167,204.0560001,0,1,0,85.77714349,14.83349282,1.423289085,0
0.17,66.4796431,-220.6804455,154.2008024,9.212414393,226.2299516,132.4847068,206.0286448,1,0,0,98.74639831,15.77229021,2.167543108,0
0.18,-180.2982383,208.5324549,-28.23421654,-5.114974036,226.2022193,144.4160962,197.8484045,0,1,1,101.06483,16.72953477,-1.203653799,0
0.19,226.326116,-117.0235822,-109.3025338,-7.375069378,226.2498413,146.5201179,196.2953261,1,1,0,90.4382878,17.67468165,-1.735060283,0
0.2,-185.3761928,-20.0167516,205.3929444,4.385920877,226.4544257,136.8340433,203.1660518,1,0,1,88.718922,18.6050379,1.030712795,0
0.21,73.57512561,148.648537,-222.2236626,6.080297148,226.3295354,135.1886744,204.264589,0,1,0,97.42068343,19.54549651,1.429847176,0
0.22,65.68787159,-220.3884265,154.7005549,-3.50980201,226.2737849,143.1552245,198.7626265,1,0,0,98.77395044,20.49785641,-0.825611837,0
0.23,-180.5570511,208.540448,-27.98339691,-4.959824089,226.3273999,144.512338,197.7781185,0,1,1,91.67163159,21.44204539,-1.166369121,0
0.24,226.4334133,-116.5193761,-109.9140373,2.911953701,226.4468032,138.0293725,202.3558557,1,1,0,90.4790528,22.3764229,0.684351021,0
0.25,-185.4220179,-19.79372564,205.2157435,4.210783733,226.3625729,136.7962398,203.1915077,1,0,1,96.29722011,23.31738037,0.990037404,0
0.26,74.03938866,148.2094605,-222.2488491,-2.176701832,226.326194,142.0926349,199.5236405,0,1,0,97.41751031,24.26643364,-0.51188389,0
0.27,65.86144394,-220.4964177,154.6349737,-3.502485227,226.3477766,143.2873605,198.6673912,1,0,0,92.68601557,25.21041162,-0.823567283,0
0.28,-180.8589145,208.421028,-27.56211346,1.715490548,226.4281013,139.0026853,201.6885061,0,1,1,91.5753269,26.14753854,0.403205004,0
0.29,226.3704574,-116.5994013,-109.7710561,3.018066943,226.3846668,137.8177413,202.5000499,1,1,0,95.39357256,27.08855051,0.7095232,0
0.3,-185.5791821,-19.45202559,205.0312076,-1.159298682,226.3534025,141.2777555,200.1014638,1,0,1,96.52815764,28.03532527,-0.272587005,0
0.31,73.97577543,148.2955176,-222.271293,-2.507596171,226.3611738,142.4547801,199.2652394,0,1,0,93.44983331,28.97927668,-0.589589159,0
0.32,66.16166343,-220.611135,154.4494716,0.842579685,226.4217495,139.7139086,201.1964804,1,0,0,92.31984009,29.91833239,0.198044695,0
0.33,-180.7992177,208.4097315,-27.6105138,2.203662254,226.3890892,138.5199073,202.0203833,0,1,1,94.73574655,30.85932959,0.518051063,0
0.34,226.3379582,-116.7734905,-109.5644677,-0.350126639,226.375953,140.6199346,200.5642889,1,1,0,95.88341352,31.80441555,-0.082315757,0
0.35,-185.5945887,-19.46528384,205.0598726,-1.810201542,226.375624,141.8621244,199.6876002,1,0,1,94.09879686,32.7484451,-0.425584213,0
0.36,73.81702568,148.4554136,-222.2724393,0.011756592,226.4111307,140.3883109,200.7264859,0,1,0,92.86970468,33.68908254,0.002763492,0
0.37,66.14557908,-220.5933683,154.4477892,1.524291489,226.4027476,139.0966396,201.6237209,1,0,0,94.04518548,34.62995519,0.358314242,0
0.38,-180.7035562,208.444977,-27.74142079,0.466318562,226.3807175,139.946936,201.0344625,0,1,1,95.28635714,35.57348883,0.109630032,0
0.39,226.3359206,-116.7866078,-109.5493128,-1.028849274,226.3721492,141.2061823,200.1519775,1,1,0,94.70848573,36.51753603,-0.24189024,0
0.4,-185.5470913,-19.5647654,205.1118567,-0.600597575,226.393221,140.8806366,200.3812522,1,0,1,93.56003857,37.45960743,-0.141189235,0
0.41,73.79779009,148.4650315,-222.2628216,0.686047288,226.4038211,139.8060292,201.1324793,0,1,0,93.68210918,38.40074704,0.161267785,0
0.42,66.07933157,-220.5643905,154.4850589,0.740158538,226.3919022,139.736528,201.1807713,1,0,0,94.61013013,39.34313846,0.17399862,0
0.43,-180.6884408,208.4549705,-27.76652968,-0.169513472,226.3812778,140.4886164,200.6562948,0,1,1,94.8318709,40.28655206,-0.039851967,0
0.44,226.3469139,-116.7584801,-109.5884338,-0.611073074,226.3839405,140.871076,200.3879736,1,1,0,94.25577867,41.22950669,-0.143658906,0
0.45,-185.5366995,-19.58411041,205.1208099,-0.163111017,226.3948041,140.5102979,200.6411129,1,0,1,93.8098378,42.17153467,-0.038344021,0
0.46,73.81938609,148.4416107,-222.2609968,0.410304322,226.3977499,140.0285377,200.9776321,0,1,0,93.97127555,43.11341269,0.096452538,0
0.47,66.06692709,-220.5611473,154.4942203,0.432630438,226.3923466,139.9982607,200.9987239,1,0,0,94.4079467,44.05585283,0.101703781,0
0.48,-180.703974,208.4521544,-27.74818049,0.010863704,226.386378,140.3456403,200.7563231,0,1,1,94.56345361,44.99876295,0.002553946,0
0.49,226.3491955,-116.7443938,-109.6048017,-0.28037477,226.386552,140.5938138,200.5826003,1,1,0,94.34361272,45.94154993,-0.065913188,0
0.5,-185.5389054,-19.57490172,205.1138071,-0.173859433,226.3912405,140.5119077,200.6399856,1,0,1,94.08763817,46.88392566,-0.040871524,0
0.51,73.8373024,148.4238578,-222.2611602,0.121437485,226.3943315,140.2668946,200.81135,0,1,0,94.05371813,47.82609829,0.028547509,0
0.52,66.06149487,-220.5605288,154.4990339,0.247118142,226.3933565,140.1576808,200.8875918,1,0,0,94.22230752,48.76844015,0.058092802,0
0.53,-180.7177888,208.4501177,-27.73232896,0.170576711,226.3911205,140.2186739,200.8450236,0,1,1,94.32819255,49.71099386,0.040099835,0
0.54,226.3524268,-116.7297859,-109.6226409,0.032400331,226.3896138,140.3332186,200.7650063,1,1,0,94.3515518,50.65361426,0.007616856,0
0.55,-185.5366616,-19.57648641,205.113148,-0.04142889,226.3897709,140.3960451,200.7210764,1,0,1,94.29714694,51.5961703,-0.009739334,0
0.56,73.85074574,148.4095569,-222.2603026,-0.042631839,226.3904719,140.39859,200.7192964,0,1,0,94.23976296,52.53865127,-0.010022093,0
0.57,66.04657007,-220.5549695,154.5083994,-0.003402665,226.3912387,140.3666655,200.741623,1,0,0,94.21150812,53.4810893,-0.000799911,0
0.58,-180.7149857,208.4524211,-27.73743543,0.027451923,226.3915224,140.3410948,200.7595007,0,1,1,94.20765186,54.42353525,0.006453491,0
0.59,226.3545474,-116.7263281,-109.6282193,0.054632143,226.3916352,140.318163,200.7755292,1,1,0,94.21922267,55.36598449,0.012843101,0
0.6,-185.5332765,-19.58497389,205.1182504,0.06352205,226.3914876,140.3104023,200.7809528,1,0,1,94.23346246,56.30845263,0.014932981,0
0.61,73.84539042,148.4145527,-222.2599431,0.059960588,226.3912514,140.3128807,200.7792208,0,1,0,94.25169463,57.25093351,0.014095758,0
0.62,66.04820604,-220.5551948,154.5069888,0.04700303,226.3910566,140.3235319,200.7717769,1,0,0,94.25694112,58.19342457,0.011049659,0
0.63,-180.7141299,208.452217,-27.73808705,0.039628958,226.3909931,140.3296562,200.7674964,0,1,1,94.25745267,59.13590999,0.009316136,0
0.64,226.3538474,-116.7279531,-109.6258944,0.033903966,226.3909808,140.3345119,200.7641023,1,1,0,94.2540533,60.07839383,0.007970282,0
0.65,-185.5342655,-19.5825512,205.1168167,0.032752722,226.3910288,140.3355689,200.7633635,1,0,1,94.25019351,61.02087294,0.007699641,0
0.66,73.846697,148.4133446,-222.2600416,0.034058209,226.3910773,140.3345712,200.7640609,0,1,0,94.24685487,61.9633495,0.008006538,0
0.67,66.04790557,-220.5551716,154.507266,0.036410141,226.3911112,140.3326331,200.7654156,1,0,0,94.24608274,62.90582488,0.008559438,0
0.68,-180.7143631,208.4522496,-27.73788641,0.037704162,226.3911211,140.3315564,200.7661682,0,1,1,94.2460706,63.84830134,0.008863641,0
0.69,226.3539983,-116.7275943,-109.6264041,0.038621938,226.3911218,140.330775,200.7667143,1,1,0,94.24672867,64.79077816,0.009079395,0
0.7,-185.5340765,-19.58300794,205.1170845,0.038744054,226.3911127,140.3306557,200.7667977,1,0,1,94.24741574,65.73325581,0.009108103,0
0.71,73.84648062,148.4135428,-222.2600234,0.038486977,226.3911043,140.3308552,200.7666583,0,1,0,94.24796418,66.67573385,0.009047669,0
0.72,66.04794425,-220.5551698,154.5072255,0.038084975,226.3910988,140.331187,200.7664264,1,0,0,94.24807495,67.61821206,0.008953165,0
0.73,-180.7143147,208.4522467,-27.73793197,0.037868573,226.3910973,140.3313673,200.7663003,0,1,1,94.24806683,68.56069008,0.008902292,0
0.74,226.353972,-116.7276595,-109.6263126,0.03772286,226.3910973,140.3314917,200.7662134,1,1,0,94.24794951,69.50316803,0.008868037,0
0.75,-185.5341087,-19.58293106,205.1170397,0.037710425,226.3910989,140.331505,200.7662041,1,0,1,94.24783358,70.44564585,0.008865114,0
0.76,73.84651525,148.4135114,-222.2600267,0.037759781,226.3911004,140.3314663,200.7662311,0,1,0,94.24774383,71.38812359,0.008876717,0
0.77,66.04793964,-220.5551709,154.5072312,0.037828238,226.3911013,140.3314097,200.7662707,1,0,0,94.24772845,72.33060132,0.00889281,0
0.78,-180.7143239,208.4522468,-27.73792292,0.037864303,226.3911015,140.3313796,200.7662917,0,1,1,94.2477315,73.27307908,0.008901288,0
0.79,226.3539765,-116.727648,-109.6263285,0.037887287,226.3911015,140.3313599,200.7663055,1,1,0,94.24775227,74.21555685,0.008906691,0
0.8,-185.5341032,-19.58294396,205.1170472,0.037888022,226.3911012,140.3313588,200.7663063,1,0,1,94.24777176,75.15803464,0.008906864,0
